Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
21,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P23.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P23.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P23.czi_cellWholeIndexImageScale.tiff,02;05;07;,0.065,0.29,3500000489_100X_20170127_E07_P23.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P23.czi_cellWholeIndexSegScale.tiff,,
22,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P24.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P24.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P24.czi_cellWholeIndexImageScale.tiff,01;02;,0.065,0.29,3500000489_100X_20170127_E07_P24.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P24.czi_cellWholeIndexSegScale.tiff,,
23,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P25.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P25.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P25.czi_cellWholeIndexImageScale.tiff,04;,0.065,0.29,3500000489_100X_20170127_E07_P25.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P25.czi_cellWholeIndexSegScale.tiff,,
24,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P26.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P26.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P26.czi_cellWholeIndexImageScale.tiff,01;,0.065,0.29,3500000489_100X_20170127_E07_P26.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P26.czi_cellWholeIndexSegScale.tiff,,
25,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P29.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P29.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P29.czi_cellWholeIndexImageScale.tiff,02;,0.065,0.29,3500000489_100X_20170127_E07_P29.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P29.czi_cellWholeIndexSegScale.tiff,,
26,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P30.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P30.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P30.czi_cellWholeIndexImageScale.tiff,01;03;,0.065,0.29,3500000489_100X_20170127_E07_P30.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P30.czi_cellWholeIndexSegScale.tiff,,
27,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P31.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P31.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P31.czi_cellWholeIndexImageScale.tiff,02;04;,0.065,0.29,3500000489_100X_20170127_E07_P31.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P31.czi_cellWholeIndexSegScale.tiff,,
28,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P32.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P32.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P32.czi_cellWholeIndexImageScale.tiff,01;05;,0.065,0.29,3500000489_100X_20170127_E07_P32.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P32.czi_cellWholeIndexSegScale.tiff,,
29,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P33.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P33.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P33.czi_cellWholeIndexImageScale.tiff,01;03;04;,0.065,0.29,3500000489_100X_20170127_E07_P33.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P33.czi_cellWholeIndexSegScale.tiff,,
30,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000489\ZSD2\100X_zstack,3500000489_100X_20170127_E07_P35.czi,0.108,0.29,1,3,2,Lamin B1,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000489\nuc_cell_segmentation,3500000489_100X_20170127_E07_P35.czi_nucWholeIndexImageScale.tiff,3500000489_100X_20170127_E07_P35.czi_cellWholeIndexImageScale.tiff,01;02;,0.065,0.29,3500000489_100X_20170127_E07_P35.czi_nucWholeIndexSegScale.tiff,3500000489_100X_20170127_E07_P35.czi_cellWholeIndexSegScale.tiff,,
