DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,Unnamed: 21,Unnamed: 22
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_029.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_029.czi_nucWholeIndex.tiff,20160705_I01_029.czi_cellWholeIndex.tiff,20160705_I01_029.czi_nucWholeIndex.tiff,20160705_I01_029.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_029.czi_nucWholeIndex.tiff,20160705_I01_029.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_029.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_030.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_030.czi_nucWholeIndex.tiff,20160705_I01_030.czi_cellWholeIndex.tiff,20160705_I01_030.czi_nucWholeIndex.tiff,20160705_I01_030.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_030.czi_nucWholeIndex.tiff,20160705_I01_030.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_030.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_031.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_031.czi_nucWholeIndex.tiff,20160705_I01_031.czi_cellWholeIndex.tiff,20160705_I01_031.czi_nucWholeIndex.tiff,20160705_I01_031.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_031.czi_nucWholeIndex.tiff,20160705_I01_031.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_031.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_032.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_032.czi_nucWholeIndex.tiff,20160705_I01_032.czi_cellWholeIndex.tiff,20160705_I01_032.czi_nucWholeIndex.tiff,20160705_I01_032.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_032.czi_nucWholeIndex.tiff,20160705_I01_032.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_032.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_033.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_033.czi_nucWholeIndex.tiff,20160705_I01_033.czi_cellWholeIndex.tiff,20160705_I01_033.czi_nucWholeIndex.tiff,20160705_I01_033.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_033.czi_nucWholeIndex.tiff,20160705_I01_033.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_033.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_034.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_034.czi_nucWholeIndex.tiff,20160705_I01_034.czi_cellWholeIndex.tiff,20160705_I01_034.czi_nucWholeIndex.tiff,20160705_I01_034.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_034.czi_nucWholeIndex.tiff,20160705_I01_034.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_034.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_035.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_035.czi_nucWholeIndex.tiff,20160705_I01_035.czi_cellWholeIndex.tiff,20160705_I01_035.czi_nucWholeIndex.tiff,20160705_I01_035.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_035.czi_nucWholeIndex.tiff,20160705_I01_035.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_035.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_036.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_036.czi_nucWholeIndex.tiff,20160705_I01_036.czi_cellWholeIndex.tiff,20160705_I01_036.czi_nucWholeIndex.tiff,20160705_I01_036.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_036.czi_nucWholeIndex.tiff,20160705_I01_036.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_036.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_037.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_037.czi_nucWholeIndex.tiff,20160705_I01_037.czi_cellWholeIndex.tiff,20160705_I01_037.czi_nucWholeIndex.tiff,20160705_I01_037.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_037.czi_nucWholeIndex.tiff,20160705_I01_037.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_037.czi_structSegmentation.tiff
2016_11_04,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160705,20160705_I01_038.czi,0.065,0.29,1,3,2,Tom20,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\nuc_cell_segmentation,20160705_I01_038.czi_nucWholeIndex.tiff,20160705_I01_038.czi_cellWholeIndex.tiff,20160705_I01_038.czi_nucWholeIndex.tiff,20160705_I01_038.czi_cellWholeIndex.tiff,0.065,0.29,20160705_I01_038.czi_nucWholeIndex.tiff,20160705_I01_038.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_I01\structure_segmentation,20160705_I01_038.czi_structSegmentation.tiff
