im_id,com_x,com_y,com_z,angle_deg,flip_x,flip_y,flip_z
20160705_I01_007_3,180.352015298345,438.097113083965,22.2994355501769,-64.5906697581172,0,1,0
20160705_I01_007_4,158.754362830084,275.87108360642,22.8462164268326,79.9098811455935,1,1,0
20160705_I01_007_5,197.94335396347,179.492001967248,23.9249475319313,32.7718721750344,0,0,0
20160705_I01_007_6,165.735221588556,144.416854111575,23.2232357345398,135.591005662406,0,1,0
20160705_I01_007_7,208.338255918657,185.555905508674,24.4513359310878,222.230942880679,1,1,0
20160705_I01_007_9,246.148032557718,241.969548575643,25.5480897065391,103.867117769301,0,1,0
20160705_I01_008_1,206.155747635964,129.349700394332,19.2303723832073,-5.07344742376039,1,1,0
20160705_I01_008_2,200.864012805468,193.452926077847,19.1474401471991,136.038805795185,0,1,0
20160705_I01_008_3,95.4680015725331,113.172375835408,26.3043585375442,30.9881231374935,0,0,0
20160705_I01_008_4,284.066199162549,203.813966905029,24.8948682115201,-15.7848378785354,1,0,0
20160705_I01_008_5,125.403350762269,383.097463623806,24.5392422226554,-51.8250765760874,0,1,0
20160705_I01_008_6,129.444826498197,322.537685280134,25.1659812407225,116.720686386852,1,1,0
20160705_I01_008_7,202.163973988082,146.576605757898,26.2895828697179,207.128422552267,0,0,0
20160705_I01_008_8,266.349820784007,379.58216422243,30.7100373577,-69.0851164911102,0,0,0
20160705_I01_009_1,167.820033120085,185.037468126038,18.9158774556854,19.7265258296035,0,1,0
20160705_I01_009_2,170.735511731357,202.789316014673,16.864704563482,103.673616175944,1,0,0
20160705_I01_009_3,250.199608324058,190.53837652841,17.3145907159578,22.0016827118144,0,1,0
20160705_I01_009_4,215.005950064519,202.725327056042,16.7139287396748,34.1201823355523,0,0,0
20160705_I01_009_5,141.806705003189,195.733462721165,17.0296756452225,251.38878745903,0,0,0
20160705_I01_009_6,120.238863588994,193.274642496814,18.5422723424505,115.450593236301,0,0,0
20160705_I01_010_1,186.798125313212,202.869186953422,20.4548698800793,0.345114662210368,0,1,0
20160705_I01_010_2,244.214746602342,200.484937130142,23.9155884637887,171.764182893246,1,1,0
20160705_I01_010_3,173.3978117637,173.839188345215,27.8801364338862,267.78599553652,1,1,0
20160705_I01_010_5,249.192628660634,166.705568181591,22.2193092392597,19.2004592006983,1,0,0
20160705_I01_010_6,216.570796447288,167.985410167003,25.6196782866814,-24.8980690490414,0,1,0
